date,open,high,low,close,volume
2020-05-06,295.1,297.68,288.44,288.77,2578448.0
2020-05-05,289.96,296.0,287.29,293.04,2500455.0
2020-05-04,284.49,287.94,282.11,287.54,2894192.0
2020-05-01,288.39,289.0,279.6,284.51,3526099.0
2020-04-30,286.65,295.0,285.52,292.47,7629191.0
2020-04-29,292.0,292.75,286.1,287.65,4254069.0
2020-04-28,298.0,298.25,285.62,288.36,3861362.0
2020-04-27,293.21,296.86,290.63,293.98,3705579.0
2020-04-24,287.29,291.9,284.0,291.29,3264950.0
2020-04-23,279.06,288.46,278.54,285.33,4417842.0
2020-04-22,279.58,283.82,276.71,277.02,3663332.0
2020-04-21,274.95,280.0,273.25,274.19,3975331.0
2020-04-20,285.3,289.0086,281.27,282.14,4071143.0
2020-04-17,300.99,304.0,287.1,290.56,5856978.0
2020-04-16,283.44,300.0,280.01,298.43,7735550.0
2020-04-15,276.33,282.99,270.68,281.68,7839788.0
2020-04-14,269.0,273.07,267.0001,270.5,4772207.0
2020-04-13,262.06,264.96,258.18,263.51,2964686.0
2020-04-09,265.0,270.4,261.6,264.13,4922000.0
2020-04-08,247.69,269.16,246.26,267.83,6385882.0
2020-04-07,259.81,266.71,246.54,248.04,4982587.0
2020-04-06,240.0,249.29,235.12,248.34,6365311.0
2020-04-03,238.32,239.337,227.27,229.49,4649266.0
2020-04-02,235.3,242.0,226.03,240.44,4336650.0
2020-04-01,238.69,246.605,235.44,237.32,4546746.0
2020-03-31,243.48,254.5297,243.0,249.38,5449215.0
2020-03-30,242.64,254.09,242.64,251.28,5327921.0
2020-03-27,242.94,251.6,238.24,242.45,4879463.0
2020-03-26,234.03,257.96,232.3,255.39,7517518.0
2020-03-25,219.09,247.51,216.0,234.49,10012757.0
2020-03-24,202.14,220.27,199.0,219.8,8885537.0
2020-03-23,202.04,205.75,187.72,194.86,10651402.0
2020-03-20,223.18,232.64,203.46,206.59,9362637.0
2020-03-19,216.98,226.12,208.9425,219.8,8062892.0
2020-03-18,225.75,231.45,200.19,217.06,12655441.0
2020-03-17,230.82,248.76,228.2901,244.22,9640576.0
2020-03-16,243.92,245.68,223.95,225.04,10294054.0
2020-03-13,260.99,273.22,242.27,272.04,9302268.0
2020-03-12,260.0,272.23,250.0,250.41,10361301.0
2020-03-11,274.76,285.24,273.26,277.78,7724616.0
2020-03-10,279.72,283.9,272.5,280.0,7363915.0
2020-03-09,264.465,281.44,259.24,273.44,8057145.0
2020-03-06,275.42,284.97,271.9,283.87,5361322.0
2020-03-05,281.6,289.42,279.94,282.96,5907644.0
2020-03-04,290.0,295.84,282.21,289.42,14530318.0
2020-03-03,275.35,280.3536,259.23,261.4,9179952.0
2020-03-02,257.34,273.24,250.32,273.11,8863396.0
2020-02-28,246.2,257.1,245.3,254.96,9959339.0
2020-02-27,258.42,262.1542,252.07,253.92,7600729.0
2020-02-26,264.72,269.83,258.7102,263.0,6806558.0
2020-02-25,280.15,281.98,262.01,263.39,8167844.0
2020-02-24,286.89,288.99,277.64,277.79,8783911.0
2020-02-21,300.47,302.51,298.61,301.43,2987070.0
2020-02-20,303.2,304.16,297.89,302.13,2883665.0
2020-02-19,303.37,306.715,302.7256,305.31,3020954.0
2020-02-18,299.67,303.35,299.0,302.14,3241661.0
2020-02-14,302.21,303.97,297.3066,298.78,2485560.0
2020-02-13,300.14,305.9,300.14,302.2,3565456.0
2020-02-12,295.0,305.0,294.01,303.48,6701787.0
2020-02-11,286.85,291.57,285.9,290.79,2990166.0
2020-02-10,286.23,289.29,285.45,287.03,3145784.0
2020-02-07,292.87,293.39,288.91,289.22,3425916.0
2020-02-06,297.0,297.27,290.0,292.46,3043940.0
2020-02-05,285.6,297.0,285.44,295.73,5760323.0
2020-02-04,277.28,283.5,276.88,280.84,4290155.0
2020-02-03,275.13,276.85,270.82,274.02,5646834.0
2020-01-31,278.17,278.78,271.18,272.45,5532583.0
2020-01-30,281.84,281.84,275.92,280.98,4211121.0
2020-01-29,284.0,286.19,280.891,282.9,3962202.0
2020-01-28,283.91,288.37,283.3,285.87,4340903.0
2020-01-27,288.0,288.08,280.07,284.09,4399151.0
2020-01-24,298.34,299.93,291.56,292.81,3677979.0
2020-01-23,300.01,300.58,296.65,299.46,3169596.0
2020-01-22,301.99,302.13,297.3501,300.59,3117557.0
2020-01-21,296.89,302.54,296.01,300.53,4962781.0
2020-01-17,300.01,300.7,295.88,298.47,4363150.0
2020-01-16,298.0,300.99,295.93,300.74,3709349.0
2020-01-15,289.02,299.64,289.0,296.41,6081200.0
2020-01-14,285.6,288.24,284.25,288.24,6052841.0
2020-01-13,294.37,294.45,285.015,285.85,6994688.0
2020-01-10,296.07,296.07,292.21,295.13,2477918.0
2020-01-09,294.29,297.2,293.7168,294.22,2838201.0
2020-01-08,291.5,297.38,290.04,295.9,3379131.0
2020-01-07,290.7,291.49,287.58,289.79,2496065.0
2020-01-06,288.0,291.66,287.22,291.55,3075610.0
2020-01-03,287.27,291.875,284.36,289.54,2711442.0
2020-01-02,293.98,295.7,289.79,292.5,2543430.0
2019-12-31,293.66,294.09,291.15,293.98,2224187.0
2019-12-30,296.05,296.54,293.45,293.85,1511688.0
2019-12-27,296.01,296.54,295.0142,295.97,1547073.0
2019-12-26,295.3,296.26,294.54,295.65,1050578.0
2019-12-24,295.26,295.83,293.56,294.54,714032.0
2019-12-23,293.43,295.845,292.81,295.09,2098935.0
2019-12-20,298.9,300.0,292.51,292.59,6606636.0
2019-12-19,295.0,297.2,293.62,294.62,2905870.0
2019-12-18,291.0,294.86,290.99,292.9,3535608.0
2019-12-17,291.24,292.7775,289.17,290.47,4409072.0
2019-12-16,287.97,295.4393,287.06,292.03,4663327.0
2019-12-13,284.97,287.81,284.12,285.48,3599254.0
2019-12-12,281.03,283.99,280.04,283.61,2995769.0
