date,open,high,low,close,volume
2020-05-06,288.04,288.46,283.78,284.25,72980387.0
2020-05-05,286.64,289.25,283.7134,286.19,79199214.0
2020-05-04,280.74,283.9,279.13,283.57,80462952.0
2020-05-01,285.31,290.6572,281.52,282.79,125045778.0
2020-04-30,291.71,293.3239,288.59,290.48,121537052.0
2020-04-29,291.53,294.88,290.41,293.21,118066585.0
2020-04-28,291.02,291.4,285.4,285.73,104797847.0
2020-04-27,285.12,288.27,284.62,287.05,77516422.0
2020-04-24,280.73,283.7,278.5,282.97,85042563.0
2020-04-23,280.49,283.94,278.75,279.08,103685412.0
2020-04-22,278.35,281.0,276.91,279.1,92831657.0
2020-04-21,276.73,278.04,272.02,273.04,125772551.0
2020-04-20,282.61,286.7912,281.35,281.59,99323028.0
2020-04-17,285.38,287.3,282.4,286.64,146455688.0
2020-04-16,279.15,280.03,275.76,279.1,126144324.0
2020-04-15,277.57,283.9407,275.46,277.76,121155983.0
2020-04-14,280.98,284.9,275.5106,283.79,133510280.0
2020-04-13,277.14,277.51,271.41,275.66,114353986.0
2020-04-09,277.57,281.2,275.47,278.2,189948139.0
2020-04-08,267.96,276.0,265.2542,274.03,152670223.0
2020-04-07,274.21,275.03,264.89,265.13,199187791.0
2020-04-06,257.84,267.0,248.1698,264.86,186692564.0
2020-04-03,250.76,253.32,245.22,248.19,134538553.0
2020-04-02,245.19,252.68,244.59,251.83,176669824.0
2020-04-01,247.98,257.6591,243.9,246.15,188373330.0
2020-03-31,260.56,263.33,256.22,257.75,193290928.0
2020-03-30,255.7,262.43,253.53,261.65,171274407.0
2020-03-27,253.27,260.81,251.05,253.42,223871285.0
2020-03-26,249.52,262.8,249.05,261.2,256107410.0
2020-03-25,244.87,256.35,239.75,246.79,297989659.0
2020-03-24,234.42,244.1,233.8,243.15,233038623.0
2020-03-23,228.19,229.6833,218.26,222.95,323100167.0
2020-03-20,242.53,244.47,228.5,228.8,344276957.0
2020-03-19,239.25,247.38,232.22,240.51,288124389.0
2020-03-18,236.25,248.37,228.02,240.0,324845381.0
2020-03-17,245.04,256.17,237.07,252.8,260566279.0
